band,fID,obsHistID
i,1546,1432676
i,1427,1432701
i,1331,1432716
r,1445,1433847
u,1331,1436949
u,1309,1436950
g,1419,1437835
u,1427,1439089
z,1427,1439481
z,1427,1439512
r,1309,1439872
r,1427,1439874
r,1427,1439918
r,1331,1442198
r,1331,1442239
y,1309,1443290
y,1427,1443809
y,1445,1443838
y,1566,1443839
y,1427,1443853
y,1427,1443913
z,1427,1444904
z,1427,1444935
z,1419,1445002
z,1331,1445081
z,1331,1445122
y,1445,1445388
y,1331,1445391
y,1419,1445393
i,1427,1447989
i,1427,1448011
i,1331,1448046
i,1419,1448050
i,1309,1448071
i,1546,1448089
i,1309,1448119
g,1309,1449910
g,1331,1449911
g,1427,1450095
z,1445,1450369
z,1309,1451098
r,1419,1451478
r,1427,1453722
r,1427,1453766
r,1309,1456390
r,1331,1456425
g,1427,1457940
z,1427,1458081
z,1445,1458084
z,1427,1458110
i,1419,1459149
i,1445,1459150
z,1419,1459510
i,1546,1459720
i,1427,1459722
i,1427,1459752
i,1309,1460590
i,1427,1462587
i,1331,1462589
i,1309,1462590
i,1427,1462617
i,1309,1462619
i,1331,1462620
i,1566,1462696
y,1427,1463719
y,1427,1464308
y,1309,1464314
y,1331,1464315
r,1445,1467193
r,1445,1467225
r,1427,1467285
r,1445,1467286
r,1309,1467292
i,1331,1468143
i,1445,1468189
r,1427,1468776
r,1427,1468810
g,1309,1470078
g,1427,1470171
u,1331,1471710
u,1427,1471711
u,1309,1472177
g,1331,1472926
r,1309,1475020
r,1419,1475029
r,1331,1476379
z,1427,1477411
z,1419,1477414
i,1427,1479671
i,1427,1479710
i,1419,1480424
i,1419,1480473
i,1427,1480973
i,1445,1480988
i,1427,1480989
z,1566,1482257
z,1445,1482296
y,1309,1482965
y,1427,1482973
z,1427,1483816
z,1419,1483859
z,1427,1483860
y,1427,1484493
y,1419,1484494
i,1331,1486103
i,1309,1486110
i,1309,1486134
i,1309,1486143
g,1445,1488143
g,1427,1488144
g,1419,1488145
y,1419,1490145
y,1427,1490148
r,1331,1490863
r,1309,1490864
r,1309,1490897
r,1546,1491602
r,1427,1491603
r,1427,1491633
u,1427,1492275
u,1309,1492278
z,1309,1492938
z,1331,1492969
r,1427,1493058
r,1546,1493087
r,1427,1493088
r,1331,1498184
r,1309,1498185
r,1427,1499666
r,1427,1499694
y,1427,1503360
y,1309,1503361
z,1419,1504172
z,1427,1504173
z,1427,1504206
i,1427,1505741
i,1309,1505742
i,1419,1505753
i,1546,1506548
g,1427,1509745
y,1309,1510430
y,1331,1510431
g,1427,1510491
g,1419,1510492
g,1331,1510517
g,1427,1510518
g,1309,1510569
u,1419,1514480
u,1427,1514481
u,1309,1516130
r,1427,1519448
r,1309,1519449
r,1331,1519450
r,1419,1519472
r,1427,1519473
r,1309,1519475
z,1331,1520230
z,1331,1520259
z,1309,1521032
z,1309,1521063
y,1427,1521862
y,1427,1526889
z,1427,1527797
y,1427,1529805
i,1309,1529841
i,1331,1600527
y,1309,1616918
y,1427,1617040
y,1309,1617050
y,1331,1617051
i,1331,1628660
i,1427,1628661
i,1427,1628693
i,1566,1628695
i,1445,1628747
y,1546,1628980
i,1419,1630590
z,1427,1632981
z,1419,1632982
z,1427,1633002
z,1445,1633003
z,1427,1633016
z,1445,1633017
z,1427,1633046
z,1331,1633134
z,1309,1633206
z,1309,1634363
z,1309,1634396
z,1331,1634397
y,1427,1634971
y,1427,1635087
y,1427,1635092
y,1419,1635093
y,1309,1635095
y,1331,1635096
y,1309,1636134
y,1427,1636328
z,1331,1636460
z,1309,1636461
r,1427,1636956
r,1445,1637163
r,1427,1639296
r,1309,1640219
r,1309,1640248
u,1427,1640279
r,1331,1640302
u,1445,1641133
u,1309,1641182
u,1331,1641190
z,1331,1641527
z,1309,1641528
u,1427,1642074
i,1427,1643181
i,1427,1643211
u,1331,1643836
u,1309,1643839
i,1427,1643883
i,1419,1643884
i,1419,1643926
i,1427,1643927
g,1427,1645582
g,1331,1645583
g,1309,1645584
g,1546,1645626
g,1427,1645627
i,1546,1646714
z,1546,1647616
z,1546,1647649
i,1331,1648089
i,1427,1648090
i,1445,1648091
i,1427,1648121
i,1445,1648122
i,1419,1648149
i,1309,1648780
y,1309,1650357
y,1419,1650366
r,1427,1650742
r,1331,1650751
r,1309,1650752
y,1445,1651576
y,1427,1651585
y,1309,1651587
i,1309,1651890
z,1419,1651947
z,1427,1651948
y,1331,1652484
y,1445,1652486
y,1427,1652487
y,1427,1653320
y,1445,1654168
y,1427,1654180
z,1427,1656229
z,1419,1656230
z,1427,1656264
z,1427,1656284
z,1427,1656314
z,1331,1656347
z,1331,1657097
z,1331,1657136
i,1427,1658794
i,1419,1658795
i,1427,1658833
i,1419,1658834
r,1427,1659231
i,1309,1659458
r,1331,1660224
r,1419,1660462
r,1427,1660479
r,1331,1660489
r,1419,1660490
